retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time,matched_rows
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,25,6a3b352c93e25b69e0267511b0a55724,diedIn_0,0.016999019287348805,3059,2,13417,3,0.003571,228.07584177835892
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,26,e990ae08d59c54229773606a83a0d33e,isLocatedIn_0,0.3115397188623733,3059,2,34961,3,0.004893,10891.740111147434
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,27,fd641eb424fcd63965d918d89121a254,diedIn_0,0.003922850604772802,3059,2,1086,3,0.002409,4.260215756783262
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,28,150698848b2a569521e0c826454f1e8b,livesIn_0,0.013403072899640406,3059,2,1039,3,0.00364,13.925792742726381
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,29,ab86198bca3a40ae6fd699cd35a65086,isLocatedIn_1,0.005230467473030402,3059,2,147,3,0.004004,0.7688787185354691
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,0,6636d0b4073a1c960d0f9aeb5bf958d4,isLocatedIn_0,0.3955541026479242,3059,2,15233,3,0.057688,6025.475645635829
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,1,76e7b724cc8848d11537173ca1879a67,wordnet_county_108546183,0.16247139588100687,3059,2,521,3,0.010638,84.64759725400458
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,2,7951f85efad8029deebf604e432b582e,wasBornIn_0,0.006538084341288003,3059,2,1265,3,0.013346,8.270676691729323
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,3,574417223ee3c780e07520ff553d5a42,isLocatedIn_0,0.04642039882314482,3059,2,21261,11,0.109025,986.944099378882
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,4,1ecba8bf6f126eaca6972ac093056c89,diedIn_0,0.03072899640405361,3059,2,128009,3,0.140127,3933.588100686499
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,5,2aa3a756cc5f92d65bc249f2068ec7f4,isLocatedIn_0,0.02745995423340961,3059,2,4451,3,0.022708,122.22425629290618
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,6,649909194fbdc0cc1b0c8fb8ced2c91f,wasBornIn_0,0.007518796992481203,3059,2,6889,3,0.040952,51.796992481203006
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,7,7f4256eaf69a0f78eb0f30d8a43aafc4,diedIn_0,0.018633540372670808,3059,2,40295,3,0.082783,750.8385093167702
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,8,09570649104f7dcf3afad7a398b28a4c,wasBornIn_0,0.006864988558352402,3059,2,6472,3,0.039038,44.430205949656745
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,9,deea5242fb559b20eea12c0d1d46f2d0,wasBornIn_0,0.005230467473030402,3059,2,3112,3,0.021736,16.27721477607061
